metragem_m2,terreno_m2,quartos,banheiros,vagas_garagem,qualidade,idade_anos,preco_mil
199.0,1207.7,4,2,1,6,41,193.5
124.2,418.1,2,2,2,6,8,153.5
145.2,948.2,3,2,3,8,1,245.0
98.9,826.1,3,1,2,5,47,126.5
136.9,792.5,3,2,2,7,14,168.5
224.5,1491.9,4,2,2,8,15,260.0
144.9,1106.6,3,2,2,6,4,174.0
113.7,367.1,2,2,2,6,0,164.5
141.8,786.9,2,1,0,3,94,85.0
92.0,749.7,3,1,0,4,13,123.6
96.6,668.9,2,1,2,4,56,109.9
114.7,789.7,2,1,2,5,45,98.6
89.6,1241.2,2,1,2,5,88,163.5
212.8,668.9,4,2,2,6,97,133.9
165.9,867.4,3,2,2,6,10,204.8
136.6,907.2,3,2,2,6,16,185.0
147.5,953.6,3,2,2,7,7,214.0
89.2,1014.6,3,1,1,4,42,94.8
77.6,987.1,2,1,1,5,90,83.0
113.8,865.9,3,1,0,4,51,129.0
149.6,985.1,3,2,2,6,33,205.0
160.9,855.3,3,2,2,6,25,178.0
142.6,652.0,4,2,2,5,30,119.0
113.9,966.4,3,2,3,7,1,198.9
168.9,720.7,4,1,1,7,76,169.5
185.1,871.0,3,2,2,8,5,250.0
97.3,1003.4,2,1,1,4,122,100.0
73.3,557.4,2,1,1,5,60,115.0
140.9,789.7,3,2,0,5,88,115.0
171.3,1091.7,3,2,2,6,33,190.0
172.3,884.9,4,2,1,6,52,136.9
132.9,720.0,3,2,2,7,10,180.0
250.5,925.8,4,2,3,7,0,384.0
209.9,1951.0,3,2,2,6,54,217.0
215.5,674.4,3,2,1,6,62,259.5
135.5,300.1,2,2,2,6,8,176.0
101.5,1079.2,3,1,1,5,47,139.0
104.5,793.0,2,1,2,5,1,155.0
299.3,1149.8,5,3,3,7,20,320.0
135.3,786.1,3,2,2,6,1,164.0
91.8,1993.0,1,1,2,6,37,180.0
104.3,563.0,3,1,1,4,68,100.0
100.3,879.2,3,1,1,6,50,136.0
111.4,733.2,2,2,2,6,15,153.9
147.3,1583.3,3,2,2,6,30,181.0
70.0,629.9,2,1,0,6,71,84.5
89.0,457.8,2,2,2,6,31,128.0
78.0,407.7,3,1,0,5,77,87.0
125.2,705.1,3,1,2,6,40,155.0
97.8,833.6,3,1,2,5,48,150.0
200.4,1319.2,4,2,2,7,40,226.0
190.8,1135.6,3,2,2,6,9,244.0
123.3,686.4,3,1,2,5,48,150.8
120.4,636.7,2,2,2,8,8,220.0
159.9,960.2,3,2,2,5,38,180.0
156.3,966.2,3,2,2,7,38,174.0
112.8,962.0,3,2,1,5,40,143.0
182.0,1028.4,5,3,3,7,18,171.0
172.1,842.3,3,2,3,8,9,230.0
163.9,1433.1,3,2,2,6,12,231.5
80.3,975.5,3,1,0,4,39,115.0
161.1,1081.9,3,2,2,7,1,260.0
128.7,791.5,4,2,2,5,58,166.0
139.4,960.2,3,2,2,7,10,204.0
160.5,845.4,6,2,2,5,43,125.0
158.8,234.3,3,2,2,6,2,130.0
81.3,568.6,2,1,1,5,78,105.0
189.1,883.0,3,2,2,7,9,222.5
100.3,696.8,3,1,0,7,4,141.0
124.9,579.7,3,1,1,5,70,115.0
90.0,962.1,3,1,2,5,32,122.0
158.9,1290.5,2,2,3,8,1,372.4
185.2,1375.2,4,2,2,6,35,190.0
116.3,1254.2,1,1,2,6,48,235.0
111.5,1053.5,4,1,1,6,83,125.0
101.8,891.9,2,1,0,6,84,79.0
96.6,668.9,2,1,2,5,56,109.5
182.8,1115.1,4,2,3,8,1,269.5
180.9,1166.1,3,2,2,7,6,254.9
228.7,1800.3,4,2,2,7,1,320.0
114.5,1033.1,3,2,2,6,24,162.5
247.9,1271.7,3,2,3,9,5,412.5
143.2,1131.7,3,2,2,7,5,220.0
81.9,511.0,1,1,0,4,51,103.2
150.1,501.7,3,2,1,6,81,152.0
125.9,938.9,4,2,0,5,68,127.5
173.4,994.8,2,1,1,5,54,190.0
200.8,981.2,3,1,3,8,0,325.6
159.8,765.9,3,2,2,7,3,183.5
158.6,1548.6,2,2,2,8,25,228.0
128.4,1148.1,2,1,2,5,66,128.5
153.8,2951.5,3,1,2,6,50,215.0
164.2,492.9,2,2,2,7,19,239.0
126.5,947.3,3,1,2,6,47,163.0
153.4,1153.5,3,2,2,6,22,184.0
200.5,1172.0,4,2,2,6,57,243.0
191.4,931.7,4,2,2,6,19,211.0
178.4,1268.1,4,2,2,5,48,172.5
207.5,1618.6,1,2,3,9,1,501.8
89.9,791.5,2,1,2,5,84,100.0
141.7,196.7,3,2,2,6,7,177.0
167.4,704.9,4,1,1,7,86,200.1
124.5,841.7,3,1,1,5,50,120.0
193.4,1061.5,3,2,2,7,5,200.0
116.3,691.0,3,1,2,5,98,127.0
335.2,2132.1,4,2,3,10,114,475.0
113.1,924.1,3,2,2,7,19,173.0
153.8,967.1,3,2,1,5,93,135.0
113.7,652.0,2,0,2,5,30,153.3
148.0,457.4,0,1,2,8,7,286.0
253.3,982.0,3,2,2,8,75,315.0
137.4,694.2,4,1,2,7,35,184.0
132.9,837.7,3,2,2,7,10,192.0
158.8,234.3,3,2,2,7,2,130.0
80.3,667.0,3,1,1,5,36,127.0
135.3,211.8,3,2,2,6,33,148.5
160.4,874.8,3,2,3,7,0,311.9
289.1,2361.5,4,2,2,8,88,235.0
207.1,512.8,5,1,0,6,97,104.0
159.1,891.0,3,2,3,8,5,274.9
104.1,793.9,2,2,2,4,7,140.0
118.8,940.6,3,2,2,6,31,171.5
121.7,650.3,2,2,1,6,82,112.0
78.8,412.3,1,1,2,6,4,149.0
119.3,325.2,2,1,1,5,62,110.0
134.0,1101.0,3,2,2,7,19,180.5
157.6,1270.3,3,1,1,5,45,143.9
102.2,1160.6,3,1,1,4,48,141.0
191.6,1334.5,3,2,2,7,19,277.0
101.5,766.5,3,1,2,6,44,145.0
80.3,520.6,2,1,0,5,83,98.0
112.6,968.0,3,2,2,6,1,186.0
172.1,802.7,3,2,2,7,0,252.7
92.0,1260.5,3,1,2,5,11,156.0
129.3,1012.6,3,1,1,6,33,161.8
114.8,930.1,2,1,1,5,49,134.4
133.4,785.0,3,2,2,7,4,210.0
123.4,920.3,3,1,1,4,81,107.0
181.5,1454.9,3,1,2,7,69,311.5
115.9,279.6,2,2,2,7,1,167.2
139.2,835.2,2,2,2,7,0,204.9
210.6,749.5,4,2,2,6,7,200.0
144.2,1066.1,3,2,2,6,31,179.9
80.3,975.5,2,1,2,4,38,97.0
222.2,1251.6,3,2,3,10,6,386.2
121.0,156.1,3,2,1,5,38,112.0
234.1,924.4,4,2,3,7,12,290.0
91.7,173.6,2,1,1,6,38,106.0
84.7,791.6,3,1,1,5,43,125.0
144.5,295.6,2,2,2,7,4,192.5
110.9,813.8,3,1,1,6,51,148.0
259.6,1406.4,4,2,3,8,14,403.0
91.7,156.1,2,1,1,6,34,94.5
83.1,989.4,3,1,1,5,34,128.2
182.1,729.4,4,2,2,6,8,216.5
91.7,156.1,2,1,1,6,37,89.5
131.4,815.0,3,2,2,7,6,185.5
162.0,878.2,3,2,2,7,17,194.5
157.4,1117.6,3,2,3,8,0,318.0
138.1,812.1,3,1,1,6,65,113.0
145.5,836.1,3,2,2,8,2,262.5
80.5,360.5,2,1,0,5,62,110.5
133.8,464.5,3,1,1,5,106,79.0
113.1,999.8,3,1,1,6,29,120.0
196.0,825.0,3,2,2,7,16,205.0
173.9,966.2,3,2,2,7,18,241.5
179.1,849.3,4,2,1,6,96,137.0
127.7,1050.7,2,1,2,6,52,140.0
155.0,1051.4,3,2,2,7,4,180.0
199.2,14771.6,4,2,2,6,49,277.0
121.3,497.0,3,1,0,3,70,76.5
151.0,441.3,2,2,2,8,1,235.0
152.4,777.2,3,2,2,6,4,173.0
121.0,868.6,3,2,1,6,43,158.0
122.1,780.4,3,1,1,5,53,145.0
212.8,811.8,4,2,2,7,7,230.0
160.5,816.7,3,2,2,6,5,207.5
149.0,818.8,3,2,2,7,3,220.0
166.5,1155.2,3,2,2,7,7,231.5
81.9,1180.1,2,1,1,5,52,97.0
128.4,1792.7,3,1,2,6,47,176.0
239.1,890.8,3,2,3,8,0,276.0
112.6,787.0,3,1,2,6,29,151.0
122.3,511.0,3,1,2,5,81,130.0
71.0,486.1,2,1,2,5,83,73.0
132.1,1123.2,3,2,2,6,27,175.5
140.4,1041.2,3,2,2,6,9,185.0
203.6,780.4,4,2,1,5,69,179.5
72.3,641.0,2,1,1,5,68,120.5
103.4,735.5,3,1,1,6,31,148.0
180.1,996.7,3,2,3,8,0,266.0
126.6,3632.9,2,1,2,7,54,241.5
210.9,1092.9,4,2,3,8,11,290.0
151.6,891.9,3,2,1,6,51,139.0
75.8,772.4,2,1,1,5,25,124.5
143.8,674.8,3,2,2,7,84,205.0
144.9,854.3,3,2,2,7,7,201.0
80.3,1778.0,2,1,2,4,59,141.0
197.0,1342.4,3,2,3,9,1,415.3
187.8,929.5,4,2,2,7,31,192.0
184.1,1048.6,3,2,2,7,18,228.5
117.2,668.9,2,2,2,6,0,185.0
122.1,470.4,2,2,2,7,2,207.5
136.4,893.0,3,2,3,8,1,244.6
146.3,744.3,2,2,2,6,15,179.2
116.1,394.9,2,2,2,7,1,164.7
161.1,909.1,3,1,2,6,44,159.0
79.7,754.8,3,1,0,4,35,88.0
83.6,912.2,3,1,1,5,43,122.0
129.7,811.0,3,1,1,6,92,153.6
178.3,1450.3,3,2,2,8,0,233.2
159.4,528.3,6,2,0,5,96,135.9
159.4,1059.9,3,1,1,5,60,131.0
210.2,1547.7,3,2,2,7,29,235.0
152.7,891.9,3,1,2,6,56,167.0
93.2,737.4,3,1,2,6,22,142.5
144.7,1273.7,4,1,1,5,57,152.0
181.2,687.4,3,2,2,7,10,239.0
161.9,1087.0,3,1,2,6,39,175.0
107.0,1300.6,3,1,1,6,59,158.5
124.1,1463.2,2,1,1,5,53,157.0
227.8,1507.4,4,2,2,8,9,267.0
143.2,1273.1,3,2,3,7,5,205.0
83.1,910.4,3,1,2,5,34,149.9
324.5,1708.1,3,3,3,7,128,295.0
185.8,964.9,3,2,3,8,3,305.9
208.4,1251.8,4,2,3,7,17,225.0
130.6,735.8,3,1,0,6,88,89.5
80.0,1146.6,1,1,2,4,69,82.5
180.6,1150.0,3,2,3,9,3,360.0
139.4,714.0,3,2,2,6,13,165.6
90.3,743.2,2,1,1,6,61,132.0
103.9,724.6,3,1,2,5,67,119.9
189.2,19996.9,3,2,2,7,44,375.0
152.5,891.9,3,1,2,7,81,178.0
133.0,724.2,3,2,2,7,5,188.5
218.6,1208.2,4,2,2,7,29,260.0
182.0,836.1,3,2,3,8,1,270.0
245.8,919.7,4,2,3,7,16,260.0
136.8,1311.3,3,2,2,7,29,187.5
241.2,1510.5,4,3,3,9,0,342.6
229.3,1124.0,4,2,3,8,3,354.0
253.6,964.3,4,2,2,7,21,301.0
108.0,540.7,3,1,1,3,51,126.2
276.7,1047.5,5,2,2,7,43,242.0
74.6,464.5,2,1,2,5,66,87.0
159.7,1007.6,1,1,2,8,15,324.0
128.5,1077.7,3,1,1,6,46,145.2
198.3,1104.4,5,2,2,6,93,214.5
110.7,594.8,3,1,1,5,89,78.0
160.5,987.0,6,2,1,5,43,119.0
98.1,759.6,3,1,1,5,49,139.0
151.3,989.9,3,2,3,8,6,284.0
126.2,761.6,2,2,2,7,4,207.0
152.2,840.0,3,2,2,6,10,192.0
165.9,15297.4,3,2,2,5,43,229.0
178.6,1315.2,3,2,3,9,2,377.4
142.7,848.7,3,2,2,7,6,214.0
150.6,1314.1,3,2,2,7,22,202.5
112.9,1152.0,3,1,1,6,51,155.0
177.3,1318.4,4,2,2,8,8,202.9
78.1,780.4,2,1,1,4,59,82.0
96.6,793.8,2,2,2,3,57,87.5
156.4,822.1,2,2,2,9,3,266.0
103.3,240.8,3,1,1,5,34,85.0
146.5,597.8,3,1,1,6,67,140.2
89.0,1186.6,2,1,1,6,47,151.5
137.3,1635.1,3,2,2,6,49,157.5
151.1,227.4,2,2,2,7,5,154.0
253.4,1898.1,4,2,3,9,1,437.2
173.6,726.5,2,2,2,9,0,318.1
135.0,489.7,2,1,2,7,20,190.0
103.2,843.9,3,1,1,5,67,95.0
66.9,791.5,2,1,2,6,82,105.9
148.2,780.4,2,1,1,6,66,140.0
111.5,1045.1,3,2,2,6,12,177.5
108.4,859.2,3,2,2,6,17,173.0
106.1,392.4,3,1,2,5,31,134.0
125.6,643.8,3,1,1,5,48,130.0
178.7,1115.9,3,2,2,8,8,280.0
84.7,700.5,2,1,2,6,29,156.0
139.8,849.5,3,1,1,5,68,145.0
178.6,678.3,4,3,2,7,6,198.5
91.7,156.1,2,1,1,6,37,118.0
146.2,1746.6,3,2,2,6,30,190.0
124.9,993.1,3,1,1,5,89,147.0
129.5,882.6,3,1,2,6,46,159.0
132.9,850.1,3,1,1,6,46,165.0
117.8,724.6,2,1,1,5,56,132.0
119.6,913.2,3,1,2,5,51,162.0
154.6,754.5,3,2,2,6,6,172.4
147.5,1590.5,4,2,2,4,49,134.4
69.9,666.6,2,1,1,6,26,125.0
122.5,987.9,3,1,1,5,56,123.0
179.1,761.8,4,2,2,7,4,219.5
84.0,930.9,1,0,0,1,87,61.0
84.9,821.8,2,1,2,5,10,148.0
229.1,1035.2,4,3,2,8,3,340.0
172.4,1058.5,1,1,3,9,0,394.4
167.2,754.7,3,2,2,6,9,179.0
157.1,464.5,3,2,1,5,86,127.0
120.9,668.9,2,2,2,7,0,187.8
166.9,858.9,3,2,2,7,1,213.5
72.8,836.1,2,1,2,6,81,76.0
181.4,4933.8,3,2,2,6,15,240.0
117.9,295.6,2,2,2,8,6,192.0
110.0,781.3,5,1,0,5,96,81.0
104.5,668.9,3,1,1,6,33,125.0
137.4,871.6,3,2,2,7,9,191.0
216.6,1158.9,3,2,3,10,1,426.0
127.0,780.9,4,1,1,5,108,119.0
182.2,1134.3,3,2,2,6,8,215.0
81.9,774.7,3,1,1,5,48,106.5
73.2,691.8,2,1,0,4,65,100.0
96.1,941.5,2,1,1,5,67,109.0
106.3,889.2,3,1,1,5,54,129.0
83.1,668.9,2,1,2,5,37,123.0
168.3,705.1,4,2,1,5,45,169.5
100.1,833.1,2,1,1,5,87,67.0
144.0,754.8,2,2,2,7,3,241.0
119.7,1390.1,1,1,2,8,12,245.5
121.7,814.5,3,2,2,7,1,165.0
62.4,947.6,2,1,1,5,68,108.0
210.2,1123.2,4,2,2,8,8,258.0
146.0,962.8,3,2,2,6,12,168.0
150.5,928.2,3,2,2,4,33,150.0
152.3,973.6,3,1,1,6,72,115.0
156.1,1447.1,4,2,1,6,93,177.0
201.8,1314.9,3,2,3,7,1,280.0
193.1,1003.4,3,2,3,8,1,339.8
118.5,889.2,3,1,1,5,51,60.0
98.1,3219.1,3,1,2,5,51,145.0
137.3,409.1,2,2,2,7,1,222.0
95.5,832.4,2,1,2,5,83,115.0
194.8,1043.1,3,2,3,7,15,228.0
124.5,826.7,3,2,2,7,0,181.1
130.1,728.7,3,1,2,6,28,149.5
243.8,2082.9,4,2,3,6,89,239.0
105.4,758.1,3,1,1,5,67,126.0
98.1,785.0,3,1,1,5,42,142.0
124.9,655.9,2,2,4,7,11,206.3
148.8,1545.4,3,2,2,6,32,215.0
91.8,2020.6,2,1,2,5,54,113.0
244.3,854.7,4,2,3,8,10,315.0
111.1,836.1,2,1,1,6,52,139.0
129.0,313.8,3,1,1,7,63,135.0
152.7,1189.2,2,2,2,7,20,275.0
84.3,798.3,3,1,1,4,51,109.0
112.2,628.2,2,2,2,7,0,195.4
131.2,1064.4,3,2,2,6,21,175.0
91.7,156.1,2,1,1,6,37,85.4
111.3,519.0,4,1,0,6,88,79.9
126.8,178.4,2,1,2,5,36,122.5
149.0,1007.0,3,2,2,6,11,181.0
58.5,175.6,1,1,0,4,36,81.0
154.3,991.0,3,2,2,7,13,212.0
103.9,408.8,2,1,2,6,86,116.0
84.0,557.4,2,1,1,6,83,119.0
64.5,397.6,2,1,1,5,94,90.4
111.1,1147.7,3,1,2,6,89,110.0
223.2,1433.6,2,2,3,10,1,555.0
133.8,1124.9,4,2,0,4,53,118.0
146.1,579.7,3,2,2,5,78,162.9
116.9,364.4,2,2,3,7,1,172.5
177.3,812.9,4,2,2,7,14,210.0
156.9,915.6,3,1,2,6,53,127.5
175.4,1532.2,2,2,2,6,44,190.0
175.2,1041.8,4,2,2,7,8,199.9
127.8,799.0,3,2,1,6,69,119.5
109.9,557.4,2,1,1,3,59,120.0
75.5,528.1,2,1,1,6,76,110.0
142.4,6573.9,2,2,2,7,31,280.0
163.1,864.3,3,2,2,6,11,204.0
147.7,836.1,3,2,2,8,1,210.0
160.5,863.7,4,2,2,5,30,188.0
115.4,891.9,3,1,2,7,34,175.5
124.9,424.7,4,1,3,5,92,98.0
154.5,4945.0,2,1,2,4,54,256.0
154.8,473.8,3,1,1,8,83,161.0
111.8,651.7,3,1,1,5,59,110.0
179.8,743.6,3,2,2,8,0,263.4
105.4,668.9,3,1,2,7,73,155.0
80.3,769.3,3,1,1,5,44,62.4
154.2,1113.7,3,1,1,6,74,188.7
96.6,783.2,3,2,0,5,31,124.0
131.4,285.4,2,2,2,7,2,178.7
118.6,987.4,2,1,2,7,37,167.0
152.7,880.7,3,1,1,5,65,146.5
151.8,1061.7,3,2,3,8,1,250.0
158.9,863.2,3,2,2,6,15,187.0
139.5,633.6,1,1,2,8,25,212.0
182.9,1110.4,3,2,2,7,30,190.0
99.6,341.4,2,1,2,6,3,148.0
183.6,1391.4,2,2,3,8,1,440.0
153.5,495.2,2,2,2,8,7,251.0
90.1,787.8,2,1,2,5,44,132.5
138.7,1219.4,3,2,2,6,11,208.9
245.5,1272.1,3,2,3,9,1,380.0
159.6,988.2,3,2,3,8,2,297.0
105.1,550.5,2,1,2,4,70,89.5
171.9,1489.5,3,2,3,9,2,326.0
166.5,1100.5,2,2,3,9,3,374.0
169.6,232.3,4,1,1,7,94,155.0
113.0,418.1,2,2,2,6,8,164.0
92.8,720.7,3,1,1,5,45,132.5
103.4,891.9,3,1,1,5,59,147.0
99.7,955.9,3,1,2,5,42,156.0
137.9,1137.4,3,2,2,5,36,175.0
224.3,1003.4,3,2,2,5,106,160.0
58.5,141.8,1,1,1,4,39,86.0
121.1,247.6,3,1,1,5,32,115.0
146.6,881.6,3,1,1,6,65,133.0
135.3,1447.2,3,2,2,6,0,172.8
117.9,736.8,3,1,1,5,48,155.0
82.3,537.4,2,1,1,5,71,91.3
66.9,732.0,2,1,0,4,89,34.9
299.9,1179.1,4,3,2,8,15,430.0
169.1,847.3,4,2,1,7,83,184.0
83.5,724.6,3,1,1,5,42,130.0
84.7,700.0,2,1,1,5,49,120.0
113.2,175.6,3,1,1,6,34,113.0
164.3,910.7,3,2,2,7,3,226.7
112.8,851.9,2,1,2,5,42,140.0
167.3,1449.5,1,2,2,7,51,289.0
122.8,214.4,3,2,2,6,35,147.0
182.1,705.7,4,2,2,5,57,124.5
177.5,887.6,3,2,2,8,13,215.0
113.2,730.4,2,2,2,6,0,208.3
128.0,891.9,3,2,2,7,80,161.0
96.7,891.9,3,1,1,5,50,124.5
126.6,1352.6,2,1,1,5,58,164.9
127.1,631.0,2,2,2,7,1,202.7
80.3,845.4,3,1,2,5,48,129.9
100.3,853.5,3,1,2,6,24,134.0
73.3,984.2,2,1,1,5,81,96.5
187.7,1135.3,3,2,3,10,0,402.9
196.9,970.7,3,2,2,6,37,158.0
217.8,948.4,3,2,3,7,13,265.0
166.9,885.5,3,2,2,6,9,211.0
193.2,1014.3,3,1,1,7,83,234.0
120.2,1003.4,3,2,0,4,108,106.2
115.6,1113.7,3,1,1,6,50,150.0
154.6,464.5,3,2,2,6,59,159.0
434.4,3724.9,3,3,3,10,0,184.8
222.8,1095.0,3,2,3,7,11,315.8
117.6,696.8,3,2,2,7,1,176.0
86.2,1235.6,2,1,1,5,51,132.0
252.0,1388.7,3,2,3,9,0,446.3
56.2,845.2,2,1,0,4,87,86.0
233.7,3035.0,4,3,2,6,50,200.6
140.2,947.6,3,2,2,6,20,175.0
126.5,571.8,3,2,2,6,88,128.0
76.8,668.9,2,1,1,5,55,107.5
31.0,464.5,1,1,0,1,61,39.3
131.4,841.3,3,2,2,8,2,178.0
125.1,650.3,3,1,0,5,98,107.5
160.2,829.1,3,2,2,7,10,188.0
80.3,1183.1,3,1,2,4,36,111.2
107.7,1073.3,3,1,1,5,38,158.0
148.7,1061.2,3,2,2,8,9,272.0
170.8,1356.5,2,2,3,9,3,315.0
212.3,1021.9,4,2,3,8,7,248.0
156.1,942.0,3,2,2,7,11,213.2
71.3,377.0,1,1,1,7,9,133.0
139.0,1589.0,3,2,2,7,0,179.7
202.8,1285.5,4,2,3,7,18,229.0
151.9,811.7,3,1,2,6,84,210.0
71.3,673.0,2,1,2,5,37,129.5
76.6,765.1,2,1,2,5,53,125.0
194.5,871.0,4,2,2,7,6,263.0
99.3,375.6,2,2,2,6,31,140.0
86.2,557.4,3,1,1,5,51,112.5
159.5,1035.5,3,2,3,8,3,255.5
104.6,815.4,2,2,2,4,60,108.0
190.1,987.1,3,2,3,7,5,284.0
97.4,592.7,2,1,1,5,84,113.0
101.5,1379.6,2,1,1,5,49,141.0
124.1,1025.6,3,1,1,4,86,108.0
134.3,2032.0,3,2,2,7,12,175.0
144.7,296.9,2,2,2,7,3,234.0
129.3,1053.6,3,1,2,5,53,121.5
129.0,930.0,2,1,2,5,32,170.0
92.5,1292.0,3,1,0,5,68,108.0
155.5,2023.4,4,2,2,6,90,185.0
213.2,1239.9,4,2,2,7,14,268.0
153.0,637.1,4,1,1,6,95,128.0
232.6,1040.3,4,2,3,9,3,325.0
142.6,944.9,3,2,2,7,6,214.0
198.1,1145.2,1,1,2,8,26,316.6
87.6,653.3,2,1,2,5,27,136.0
160.5,1217.1,6,2,2,5,43,142.6
80.3,681.2,2,1,1,6,47,120.0
157.2,1222.5,3,2,2,7,0,224.5
132.9,926.0,3,2,2,7,7,170.0
103.0,975.5,3,1,1,5,36,139.0
113.0,787.8,2,1,1,5,61,118.5
137.2,584.5,3,2,1,7,81,145.0
122.6,1094.1,3,1,2,5,40,164.5
129.3,334.8,2,2,2,7,1,146.0
166.8,1128.8,4,2,1,5,54,131.5
132.8,1355.0,3,1,2,6,47,181.9
189.7,1180.2,3,2,3,8,1,253.3
75.8,1100.1,3,1,0,6,17,118.5
257.8,1254.2,3,3,2,10,115,325.0
146.1,568.6,3,1,1,4,74,133.0
188.4,1063.1,2,2,3,8,1,369.9
77.9,953.8,2,1,1,6,90,130.0
79.9,812.0,2,1,2,5,27,137.0
136.8,2331.4,1,1,1,5,41,143.0
86.9,845.4,2,1,1,5,78,79.5
147.0,773.0,3,2,2,7,4,185.9
213.3,1252.1,3,2,3,10,1,452.0
75.8,613.2,2,1,2,5,26,138.0
78.8,412.0,1,1,2,6,6,140.0
85.8,742.3,3,1,1,5,33,110.0
169.6,1050.0,3,2,3,8,1,319.0
127.1,334.5,3,1,1,6,96,114.5
130.3,364.4,2,0,3,7,1,194.2
153.0,1206.3,3,2,2,5,29,217.5
144.6,181.2,3,2,2,6,28,151.0
176.9,1015.2,3,2,2,8,1,275.0
127.7,836.1,3,1,1,6,70,141.0
177.9,932.8,3,2,2,8,14,220.0
111.5,295.6,2,2,2,7,6,151.0
138.8,1189.4,3,2,2,7,6,221.0
184.5,1263.5,3,2,2,7,44,205.0
96.6,1157.9,3,1,2,5,13,152.0
186.5,724.6,3,3,1,5,58,225.0
296.7,1130.4,4,2,2,8,73,359.1
95.6,737.9,3,1,1,4,46,118.5
200.0,1026.6,3,2,3,9,9,313.0
95.9,965.7,3,2,2,6,29,148.0
173.9,1104.2,3,2,2,8,8,261.5
104.1,780.6,3,1,0,5,0,147.0
58.5,138.5,1,1,0,4,38,75.5
97.9,817.5,3,1,2,6,47,137.5
140.2,730.3,3,2,2,6,4,183.2
77.3,671.4,2,1,2,6,54,105.5
169.8,1086.4,3,2,3,9,0,314.8
210.1,1137.5,4,2,3,8,5,305.0
80.3,766.3,2,1,0,3,94,67.0
242.8,1003.4,4,2,2,6,34,240.0
